FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,state_descriptions,geographic_areas_code,geographic_areas_desc,CAUSES,MONTH
2000,2451792.5,249,2321.0,Arson,0.2,A,41.0999,-123.6678,CA,California,CA,California,Human,Sep
1993,2449176.5,189,,Missing/Undefined,0.2,A,34.1625,-82.34583333,SC,South Carolina,SA,Southern Area,Undefined,Jul
2001,2451940.5,31,,Debris Burning,2.0,B,35.7,-80.9667,NC,North Carolina,,National,Human,Jan
2008,2454551.5,86,,Missing/Undefined,0.2,A,35.70964,-79.13764,NC,North Carolina,,National,Undefined,Mar
2002,2452465.5,191,1700.0,Miscellaneous,0.1,A,37.236702,-120.588225,CA,California,CA,California,Undefined,Jul
2001,2452054.5,145,,Arson,2.0,B,44.66378,-123.49378,OR,Oregon,NW,Northwest,Human,May
2000,2451768.5,225,,Arson,1.0,B,32.18957998,-94.92709002,TX,Texas,SA,Southern Area,Human,Aug
2007,2454182.5,82,,Debris Burning,1.8,B,32.27803175,-81.65607876,GA,Georgia,SA,Southern Area,Human,Mar
1996,2450124.5,42,1200.0,Smoking,30.0,C,34.29649193,-89.73574048,MS,Mississippi,SA,Southern Area,Human,Feb
1992,2448712.5,91,1416.0,Debris Burning,1.0,B,31.04096184,-90.91872528,MS,Mississippi,SA,Southern Area,Human,Apr
2001,2451979.5,70,,Arson,0.3,B,34.9,-79.6667,NC,North Carolina,,National,Human,Mar
2001,2452031.5,122,,Campfire,5.0,B,35.9083,-94.8061,OK,Oklahoma,SA,Southern Area,Human,May
2003,2452794.5,155,,Debris Burning,3.0,B,44.10011001,-70.45882998,ME,Maine,,National,Human,Jun
1998,2450885.5,72,,Arson,15.0,C,34.5167,-81.2333,SC,South Carolina,SA,Southern Area,Human,Mar
1993,2449202.5,215,,Debris Burning,970.0,E,33.9583,-78.1417,NC,North Carolina,,National,Human,Aug
2006,2454014.5,279,1525.0,Equipment Use,12.0,C,48.9217,-112.7012,MT,Montana,RM,Rocky Mountain,Human,Oct
1998,2451134.5,321,1500.0,Campfire,10.0,C,37.72333333,-91.21666667,MO,Missouri,SA,Southern Area,Human,Nov
2008,2454697.5,232,758.0,Lightning,0.2,A,34.48027778,-111.1633333,AZ,Arizona,SW,Southwest,Lightning,Aug
2005,2453559.5,189,1400.0,Campfire,0.1,A,34.91944444,-111.5677778,AZ,Arizona,SW,Southwest,Human,Jul
1995,2449839.5,122,,Debris Burning,4.0,B,45.981451,-94.033591,MN,Minnesota,NR,Northern Rockies,Human,May
2000,2451903.5,360,,Arson,2.0,B,33.8792,-79.8306,SC,South Carolina,SA,Southern Area,Human,Dec
2009,2455073.5,242,,Debris Burning,0.16,A,45.385,-122.23056,OR,Oregon,NW,Northwest,Human,Aug
1996,2450177.5,95,,Debris Burning,2.0,B,35.375,-79.2717,NC,North Carolina,,National,Human,Apr
2000,2451612.5,69,,Equipment Use,30.0,C,28.5,-81.2,FL,Florida,SA,Southern Area,Human,Mar
1997,2450649.5,201,,Children,0.25,A,39.98333,-74.15417,NJ,New Jersey,,National,Human,Jul
2001,2451978.5,69,,Debris Burning,8.0,B,34.8603,-81.6633,SC,South Carolina,SA,Southern Area,Human,Mar
1998,2450905.5,92,,Arson,0.5,B,33.7167,-79.8833,SC,South Carolina,SA,Southern Area,Human,Apr
1992,2448761.5,140,1500.0,Campfire,0.1,A,44.26666667,-85.63333333,MI,Michigan,NR,Northern Rockies,Human,May
2003,2452667.5,28,,Miscellaneous,0.17,A,33.50740036,-82.67454928,GA,Georgia,SA,Southern Area,Undefined,Jan
1999,2451389.5,211,,Lightning,0.3,B,28.41,-80.76,FL,Florida,SA,Southern Area,Lightning,Jul
1995,2450018.5,301,,Arson,1.0,B,30.81042,-94.13125,TX,Texas,SA,Southern Area,Human,Oct
2007,2454142.5,42,1005.0,Children,0.1,A,37.182561,-122.393861,CA,California,CA,California,Human,Feb
2006,2453821.5,86,,Arson,6.0,B,34.84785997,-79.16494999,NC,North Carolina,,National,Human,Mar
1995,2450059.5,342,1030.0,Miscellaneous,0.1,A,35.11833333,-111.6783333,AZ,Arizona,SW,Southwest,Undefined,Dec
1998,2450905.5,92,,Debris Burning,1.0,B,35.4133,-87.5517,TN,Tennessee,SA,Southern Area,Human,Apr
2007,2454253.5,153,2330.0,Arson,0.1,A,37.236518,-120.352336,CA,California,CA,California,Human,Jun
1993,2449103.5,116,1530.0,Equipment Use,0.1,A,41.0832,-123.7012,CA,California,CA,California,Human,Apr
2007,2454166.5,66,,Missing/Undefined,3.0,B,34.085,-95.14066,OK,Oklahoma,SA,Southern Area,Undefined,Mar
2003,2452855.5,216,1809.0,Lightning,0.1,A,45.07805556,-119.3355556,OR,Oregon,NW,Northwest,Lightning,Aug
2005,2453634.5,264,1530.0,Debris Burning,280.0,D,43.50777778,-88.64333333,WI,Wisconsin,NR,Northern Rockies,Human,Sep
2006,2453940.5,205,,Lightning,70.0,C,27.69861002,-80.86249998,FL,Florida,SA,Southern Area,Lightning,Jul
2002,2452467.5,193,1200.0,Lightning,0.1,A,33.75055556,-108.0186111,NM,New Mexico,SW,Southwest,Lightning,Jul
2003,2452806.5,167,1200.0,Equipment Use,0.2,A,42.7125,-112.4213889,ID,Idaho,GB,Great Basin,Human,Jun
1998,2451072.5,259,1115.0,Lightning,0.1,A,38.27833333,-119.86,CA,California,CA,California,Lightning,Sep
2002,2452492.5,218,,Smoking,0.2,A,36.17,-88.8267,TN,Tennessee,SA,Southern Area,Human,Aug
1994,2449543.5,191,1700.0,Lightning,0.1,A,45.35222222,-121.4925,OR,Oregon,NW,Northwest,Lightning,Jul
1995,2449902.5,185,910.0,Campfire,0.1,A,40.93333333,-111.8,UT,Utah,RM,Rocky Mountain,Human,Jul
1992,2448762.5,141,1026.0,Lightning,0.1,A,42.1665,-123.0178,OR,Oregon,NW,Northwest,Lightning,May
2009,2454842.5,11,,Arson,1.0,B,30.46861,-81.58528,FL,Florida,SA,Southern Area,Human,Jan
2006,2453798.5,63,,Debris Burning,5.0,B,33.70083999,-96.91649997,TX,Texas,SA,Southern Area,Human,Mar
1999,2451235.5,57,,Arson,0.1,A,32.9461,-80.4639,SC,South Carolina,SA,Southern Area,Human,Feb
1997,2450583.5,135,1700.0,Lightning,28.0,C,31.4707,-110.1148,AZ,Arizona,SW,Southwest,Lightning,May
2008,2454653.5,188,1650.0,Lightning,0.1,A,38.2422,-113.6169,UT,Utah,RM,Rocky Mountain,Lightning,Jul
1999,2451415.5,237,1652.0,Children,0.3,B,42.38714,-114.31162,ID,Idaho,GB,Great Basin,Human,Aug
1997,2450590.5,142,,Arson,2.0,B,36.3583,-76.2083,NC,North Carolina,,National,Human,May
1994,2449623.5,271,800.0,Lightning,0.1,A,42.2332,-123.1845,OR,Oregon,NW,Northwest,Lightning,Sep
1999,2451360.5,182,,Missing/Undefined,0.5,B,45.25,-68.01666667,ME,Maine,,National,Undefined,Jul
1994,2449618.5,266,,Equipment Use,0.3,B,42.06628,-124.25561,OR,Oregon,NW,Northwest,Human,Sep
1998,2450944.5,131,2157.0,Miscellaneous,2.5,B,33.1201,-111.8857,AZ,Arizona,SW,Southwest,Undefined,May
2001,2451981.5,72,,Miscellaneous,3.0,B,38.605,-77.7583,VA,Virginia,EA,Eastern Area,Undefined,Mar
2007,2454300.5,200,,Miscellaneous,2.0,B,34.62955,-80.53027,SC,South Carolina,SA,Southern Area,Undefined,Jul
2003,2452771.5,132,1430.0,Miscellaneous,0.1,A,33.3664,-110.4423,AZ,Arizona,SW,Southwest,Undefined,May
1997,2450667.5,219,1907.0,Lightning,450.0,E,40.0677,-114.9689,NV,Nevada,GB,Great Basin,Lightning,Aug
2006,2453847.5,112,,Miscellaneous,2.0,B,40.27187,-74.15233002,NJ,New Jersey,,National,Undefined,Apr
1997,2450720.5,272,,Equipment Use,5.0,B,33.2569,-92.6811,AR,Arkansas,SA,Southern Area,Human,Sep
2009,2454867.5,36,1400.0,Lightning,0.2,A,26.2,-97.31666667,TX,Texas,SA,Southern Area,Lightning,Feb
1995,2450044.5,327,,Debris Burning,2.0,B,36.3483,-81.3917,NC,North Carolina,,National,Human,Nov
1998,2451040.5,227,1111.0,Miscellaneous,0.1,A,48.429,-119.4631,WA,Washington,NW,Northwest,Undefined,Aug
1994,2449573.5,221,1145.0,Lightning,0.1,A,48.53833333,-115.375,MT,Montana,RM,Rocky Mountain,Lightning,Aug
1992,2448796.5,175,1701.0,Lightning,0.1,A,41.56666667,-121.1916667,CA,California,CA,California,Lightning,Jun
1998,2450901.5,88,,Arson,1.25,B,40.12083,-74.075,NJ,New Jersey,,National,Human,Mar
2005,2453639.5,269,,Miscellaneous,60.0,C,29.19906999,-100.6088,TX,Texas,SA,Southern Area,Undefined,Sep
1995,2449772.5,55,1210.0,Missing/Undefined,5.0,B,35.64609908,-94.74559786,OK,Oklahoma,SA,Southern Area,Undefined,Feb
2006,2453911.5,176,2030.0,Lightning,5.0,B,40.21666667,-120.5902778,CA,California,CA,California,Lightning,Jun
2007,2454339.5,239,1325.0,Lightning,0.1,A,35.90222222,-112.0180556,AZ,Arizona,SW,Southwest,Lightning,Aug
2007,2454338.5,238,1815.0,Arson,0.2,A,47.8672,-94.9417,MN,Minnesota,NR,Northern Rockies,Human,Aug
1993,2449022.5,35,2229.0,Arson,1.0,B,31.54069117,-90.57169802,MS,Mississippi,SA,Southern Area,Human,Feb
2006,2454032.5,297,,Arson,0.1,A,29.13471999,-82.46750001,FL,Florida,SA,Southern Area,Human,Oct
2005,2453574.5,204,400.0,Lightning,107.0,D,32.6712,-116.9053,CA,California,CA,California,Lightning,Jul
2009,2454963.5,132,,Lightning,10.0,C,27.95,-81.17056,FL,Florida,SA,Southern Area,Lightning,May
2007,2454240.5,140,,Arson,1.08,B,31.77596802,-81.62343474,GA,Georgia,SA,Southern Area,Human,May
